"feature","selection_proportion","selected","source_variable","group"
"sbp",1,TRUE,"sbp","biological"
"albumin",0,FALSE,"albumin","biological"
"alcohol_consumptionDaily drinker",0,FALSE,"alcohol_consumption","exposure"
"alcohol_consumptionFormer drinker",0,FALSE,"alcohol_consumption","exposure"
"alcohol_consumptionModerate drinker",0,FALSE,"alcohol_consumption","exposure"
"alcohol_consumptionSocial drinker",0,FALSE,"alcohol_consumption","exposure"
"alp",0,FALSE,"alp","biological"
"alt",0,FALSE,"alt","biological"
"angina_dx_age",0,FALSE,"angina_dx_age","biological"
"apoa1",0,FALSE,"apoa1","biological"
"apob",0,FALSE,"apob","biological"
"ast",0,FALSE,"ast","biological"
"bilirubin",0,FALSE,"bilirubin","biological"
"birth_weight",0,FALSE,"birth_weight","exposure"
"body_fat_mass",0,FALSE,"body_fat_mass","biological"
"breastfedYes",0,FALSE,"breastfed","exposure"
"comparative_body_size_10About average",0,FALSE,"comparative_body_size_10","exposure"
"comparative_body_size_10Plumper",0,FALSE,"comparative_body_size_10","exposure"
"creatinine",0,FALSE,"creatinine","biological"
"crp",0,FALSE,"crp","biological"
"cystatin_c",0,FALSE,"cystatin_c","biological"
"dbp",0,FALSE,"dbp","biological"
"diabetes_doctor_diagnosedYes",0,FALSE,"diabetes_doctor_diagnosed","biological"
"diet_score",0,FALSE,"diet_score","exposure"
"dvt_dx_age",0,FALSE,"dvt_dx_age","biological"
"employmentOther economically inactive",0,FALSE,"employment","exposure"
"employmentRetired",0,FALSE,"employment","exposure"
"employmentUnable to work",0,FALSE,"employment","exposure"
"employmentUnemployed",0,FALSE,"employment","exposure"
"ggt",0,FALSE,"ggt","biological"
"grip_strength",0,FALSE,"grip_strength","biological"
"hba1c",0,FALSE,"hba1c","biological"
"hdl_cholesterol",0,FALSE,"hdl_cholesterol","biological"
"heart_problems_collapsedYes",0,FALSE,"heart_problems_collapsed","biological"
"heel_bone_density",0,FALSE,"heel_bone_density","biological"
"highest_qualificationA-levels",0,FALSE,"highest_qualification","exposure"
"highest_qualificationCSEs",0,FALSE,"highest_qualification","exposure"
"highest_qualificationO-levels/GCSEs",0,FALSE,"highest_qualification","exposure"
"highest_qualificationProfessional (nursing/teaching)",0,FALSE,"highest_qualification","exposure"
"highest_qualificationUniversity degree",0,FALSE,"highest_qualification","exposure"
"highest_qualificationVocational (NVQ/HND/HNC)",0,FALSE,"highest_qualification","exposure"
"household_income18-31k",0,FALSE,"household_income","exposure"
"household_income31-52k",0,FALSE,"household_income","exposure"
"household_income52-100k",0,FALSE,"household_income","exposure"
"household_income>100k",0,FALSE,"household_income","exposure"
"household_size2 people",0,FALSE,"household_size","exposure"
"household_size3-5 people",0,FALSE,"household_size","exposure"
"household_size6+ people",0,FALSE,"household_size","exposure"
"housingOther",0,FALSE,"housing","exposure"
"housingRenter",0,FALSE,"housing","exposure"
"insomniaSometimes",0,FALSE,"insomnia","exposure"
"insomniaUsually",0,FALSE,"insomnia","exposure"
"ldl_direct",0,FALSE,"ldl_direct","biological"
"long_illYes",0,FALSE,"long_ill","biological"
"lpa",0,FALSE,"lpa","biological"
"lymphocyte_count",0,FALSE,"lymphocyte_count","biological"
"maternal_smoking_birthYes",0,FALSE,"maternal_smoking_birth","exposure"
"meds_chol_bp_diabetes_collapsedYes",0,FALSE,"meds_chol_bp_diabetes_collapsed","biological"
"meds_chol_bp_diabetes_hormone_collapsedYes",0,FALSE,"meds_chol_bp_diabetes_hormone_collapsed","biological"
"met_min_week_all",0,FALSE,"met_min_week_all","exposure"
"mh_sought_helpYes",0,FALSE,"mh_sought_help","exposure"
"mi_dx_age",0,FALSE,"mi_dx_age","biological"
"monocyte_count",0,FALSE,"monocyte_count","biological"
"neuroticism_score",0,FALSE,"neuroticism_score","exposure"
"neutrophill_count",0,FALSE,"neutrophill_count","biological"
"no2_2010",0,FALSE,"no2_2010","exposure"
"pack_yrs",0,FALSE,"pack_yrs","exposure"
"passive_catHigh",0,FALSE,"passive_cat","exposure"
"passive_catLow",0,FALSE,"passive_cat","exposure"
"passive_total_hrs",0,FALSE,"passive_total_hrs","exposure"
"pe_dx_age",0,FALSE,"pe_dx_age","biological"
"platelets",0,FALSE,"platelets","biological"
"pm10_2010",0,FALSE,"pm10_2010","exposure"
"pm2.5_2010",0,FALSE,"pm2.5_2010","exposure"
"salt_addedAlways",0,FALSE,"salt_added","exposure"
"salt_addedSometimes",0,FALSE,"salt_added","exposure"
"salt_addedUsually",0,FALSE,"salt_added","exposure"
"serious_dxYes - you will be asked about this later by an interviewer",0,FALSE,"serious_dx","biological"
"sleep_catLong",0,FALSE,"sleep_cat","exposure"
"sleep_catShort",0,FALSE,"sleep_cat","exposure"
"sleep_hrs",0,FALSE,"sleep_hrs","exposure"
"smoking_status_refinedCurrent",0,FALSE,"smoking_status_refined","exposure"
"smoking_status_refinedFormer_Long",0,FALSE,"smoking_status_refined","exposure"
"smoking_status_refinedFormer_Recent",0,FALSE,"smoking_status_refined","exposure"
"stroke_dx_age",0,FALSE,"stroke_dx_age","biological"
"total_cholesterol",0,FALSE,"total_cholesterol","biological"
"triglycerides",0,FALSE,"triglycerides","biological"
"urban_rural_3lvlRural",0,FALSE,"urban_rural_3lvl","exposure"
"urban_rural_3lvlTown",0,FALSE,"urban_rural_3lvl","exposure"
"wbc",0,FALSE,"wbc","biological"
"whr",0,FALSE,"whr","biological"
"work_job_satisfaction_num",0,FALSE,"work_job_satisfaction_num","exposure"
